Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
Adult,adult,binary,13,Fair-GAD,lambda=1.2,0.7446914399469144,0.6834727428106258,0.7509953550099535,0.42889625769777356,True,0.01481530016665955,0.09923330366288183,0.04290472421696989,0.7111081990000427,-0.013934970139349634,-0.07944169658698662,0.22343711413720707,1.2,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,13,Fair-GAD,lambda=0.1,0.7161535915259848,0.7158453440796609,0.5239159218801721,0.34379581862612,True,0.007398648611593395,0.11089680786354791,0.021001437280046664,0.7774017240575355,-0.004385964912280715,-0.02642537730960101,0.060150693714087655,0.1,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,13,Fair-GAD,lambda=0.2,0.7149122807017544,0.7145885090360888,0.5239159218801721,0.34379581862612,True,0.002742365787757809,0.10345939609402058,0.028157741466942887,0.7904645974614943,-0.005627275736511117,-0.031081660133436596,0.0732135671180465,0.2,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,13,Fair-GAD,lambda=0.3,0.7144157563720622,0.7140785300016563,0.5239159218801721,0.34379581862612,True,0.0019525324271652822,0.10214490381666275,0.02926466529689198,0.7925746130703338,-0.006123800066203278,-0.031871493494029124,0.075323582726886,0.3,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,13,Fair-GAD,lambda=0.5,0.7149950347567031,0.7146729474691245,0.5239159218801721,0.34379581862612,True,0.00012447404827947706,0.0986582009974406,0.03339770204845266,0.7992531557103232,-0.0055445216815623866,-0.03369955187291493,0.08200212536687534,0.5,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,13,Fair-GAD,lambda=0.8,0.7148295266468057,0.7145167176533035,0.5239159218801721,0.34379581862612,True,0.0003911584512525749,0.09964407020545904,0.032154720104452306,0.7976530492924846,-0.0057100297914598475,-0.033432867469941834,0.08040201894903676,0.8,directional,,,,por defecto del cargador
Dutch Census,dutch,binary,13,Fair-GAD,lambda=1.2,0.7144157563720622,0.7140785300016563,0.5239159218801721,0.34379581862612,True,0.0019525324271652822,0.10214490381666275,0.02926466529689198,0.7925746130703338,-0.006123800066203278,-0.031871493494029124,0.075323582726886,1.2,directional,,,,por defecto del cargador
COMPAS,compas,binary,13,Fair-GAD,lambda=0.1,0.603219696969697,0.5825460816993125,0.5293560606060606,0.3461300309597523,True,0.2469598296714115,0.3087882307394503,0.30093988810630434,0.2914001421464108,0.0037878787878787845,-0.04059354848125274,0.025770080597981915,0.1,directional,,,,por defecto del cargador
COMPAS,compas,binary,13,Fair-GAD,lambda=0.2,0.6013257575757576,0.5786452799752821,0.5293560606060606,0.3461300309597523,True,0.2311507390540546,0.2925280681378243,0.2847327070132718,0.30269472129937247,0.0018939393939393367,-0.05640263909860965,0.037064659750943585,0.2,directional,,,,por defecto del cargador
COMPAS,compas,binary,13,Fair-GAD,lambda=0.3,0.5928030303030303,0.5481395385864634,0.5293560606060606,0.3461300309597523,True,0.09126012934820373,0.15106465350367793,0.14348585429550098,0.4566972988025619,-0.006628787878787956,-0.19629324880446053,0.191067237254133,0.3,directional,,,,por defecto del cargador
