Dataset,dataset,Tarea,Semilla,Propuesta,Config,Accuracy,F1_macro,Acc_trivial,F1_trivial,Supera trivial,D_g,|SPD|,|EOD|,DI_min,Delta Acc,Delta D_g,Delta DI_min,lambda,modo,eta,w_min,atenuados,modo_sensible
COMPAS,compas,binary,13,Fair-MAD,"directional, eta=50",0.5672348484848485,0.501684655949164,0.5293560606060606,0.3461300309597523,True,0.22551368349436712,0.24724296222554062,0.2448131130318608,0.0840095074174248,-0.032196969696969724,-0.06203969465829712,-0.18162055413100409,,directional,50,0.37239408747755265,4,por defecto del cargador
COMPAS,compas,binary,13,Fair-MAD,"directional, eta=100",0.5653409090909091,0.497098509568745,0.5293560606060606,0.3461300309597523,True,0.22167788373589378,0.24138045462087276,0.23942691378969233,0.07795664849790848,-0.03409090909090917,-0.06587549441677046,-0.1876734130505204,,directional,100,0.22879868192443464,4,por defecto del cargador
COMPAS,compas,binary,13,Fair-MAD,"directional, eta=200",0.5662878787878788,0.49614751536618396,0.5293560606060606,0.3461300309597523,True,0.22851858859111393,0.2449311431889829,0.24278228244916802,0.05262482351431138,-0.03314393939393945,-0.05903478956155031,-0.2130052380341175,,directional,200,0.129177118145456,4,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"symmetric, eta=5",0.5488721804511278,0.5391628362339659,0.3408521303258145,0.16947040498442367,True,0.11226134131813643,0.2673721340388007,0.14722237100760305,0.248015873015873,-0.0025062656641603454,0.0014676368631743736,0.012027672425902497,,symmetric,5,0.9520215653704995,9,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"symmetric, eta=10",0.5413533834586466,0.5300264386618463,0.3408521303258145,0.16947040498442367,True,0.1076505820695622,0.27724867724867724,0.13734701951831316,0.23391812865497078,-0.010025062656641603,-0.003143122385399863,-0.002070071934999723,,symmetric,10,0.9084362176852185,15,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"symmetric, eta=20",0.5538847117794486,0.5400593869014064,0.3408521303258145,0.16947040498442367,True,0.09922779945813866,0.27301587301587305,0.12103055482456655,0.2586206896551724,0.0025062656641604564,-0.011565904996823403,0.022632489065201877,,symmetric,20,0.8322337479526659,26,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"symmetric, eta=50",0.556390977443609,0.5457715590223331,0.3408521303258145,0.16947040498442367,True,0.08857811637674996,0.2603174603174603,0.10960773187166574,0.26785714285714285,0.005012531328320802,-0.022215588078212098,0.03186894226717235,,symmetric,50,0.6649096484474558,32,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"directional, eta=10",0.5538847117794486,0.5449052899071467,0.3408521303258145,0.16947040498442367,True,0.1450373124984349,0.28853615520282183,0.19000942393664388,0.1884920634920635,0.0025062656641604564,0.034243608043472845,-0.04749613709790701,,directional,10,0.9304800717016999,18,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"directional, eta=20",0.5588972431077694,0.5476653761146391,0.3408521303258145,0.16947040498442367,True,0.14352513674690823,0.2821869488536155,0.17280201944456733,0.1919191919191919,0.007518796992481258,0.032731432291946166,-0.04406900867077859,,directional,20,0.8699978813692374,25,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"directional, eta=50",0.5388471177944862,0.5296734195826986,0.3408521303258145,0.16947040498442367,True,0.13305885572619852,0.2592592592592593,0.14913668253106957,0.17730496453900707,-0.012531328320801949,0.02226515127123646,-0.05868323605096343,,directional,50,0.7280297637906753,38,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"directional, eta=100",0.506265664160401,0.4938577106640271,0.3408521303258145,0.16947040498442367,True,0.1304713072968651,0.254673721340388,0.16384446674931372,0.18970189701897017,-0.045112781954887216,0.019677602841903036,-0.04628630357100033,,directional,100,0.5723638360912601,39,por defecto del cargador
Communities and Crime,communities,multiclass,13,Fair-MAD,"directional, eta=200",0.5087719298245614,0.495318465662675,0.3408521303258145,0.16947040498442367,True,0.13218194046456389,0.25573192239858905,0.17851332094921454,0.14492753623188406,-0.04260651629072676,0.021388236009601824,-0.09106066435808643,,directional,200,0.4009171598204539,39,por defecto del cargador
Student Performance,student,multiclass,13,Fair-MAD,"symmetric, eta=5",0.5230769230769231,0.4693312135273202,0.46153846153846156,0.21052631578947367,True,0.05588474025974025,0.024177080780854353,0.1990710678210678,0.8718614718614719,0.0,0.0,0.0,,symmetric,5,0.9719903763329076,4,por defecto del cargador
